claim_001,provider_001,Dr. John Smith,Yes,Premium
claim_002,provider_002,Dr. Emily Davis,No,Gold
claim_003,provider_003,Dr. Michael Brown,Yes,Silver
claim_004,provider_004,Dr. Sarah Johnson,No,Bronze
claim_005,provider_005,Dr. William Lee,Yes,Platinum
claim_006,provider_006,Dr. Linda Martinez,No,Silver
claim_007,provider_007,Dr. James Wilson,Yes,Bronze
claim_008,provider_008,Dr. Barbara Anderson,No,Platinum
claim_009,provider_009,Dr. Robert Thomas,Yes,Gold
claim_010,provider_010,Dr. Patricia Jackson,No,Premium
claim_011,provider_011,Dr. Charles White,Yes,Silver
claim_012,provider_012,Dr. Jennifer Harris,No,Bronze
claim_013,provider_013,Dr. Joseph Clark,Yes,Platinum
claim_014,provider_014,Dr. Karen Lewis,No,Silver
claim_015,provider_015,Dr. Thomas Robinson,Yes,Bronze
claim_016,provider_016,Dr. Nancy Walker,No,Platinum
claim_017,provider_017,Dr. Christopher Hall,Yes,Gold
claim_018,provider_018,Dr. Lisa Young,No,Premium
claim_019,provider_019,Dr. Daniel King,Yes,Silver
claim_020,provider_020,Dr. Susan Wright,No,Bronze
claim_021,provider_021,Dr. Matthew Scott,Yes,Platinum
claim_022,provider_022,Dr. Betty Green,No,Silver
claim_023,provider_023,Dr. Anthony Adams,Yes,Bronze
claim_024,provider_024,Dr. Sandra Baker,No,Platinum
claim_025,provider_025,Dr. Mark Gonzalez,Yes,Gold
claim_026,provider_026,Dr. Donna Nelson,Yes,Premium
claim_027,provider_027,Dr. Steven Carter,No,Silver
claim_028,provider_028,Dr. Michelle Mitchell,Yes,Bronze
claim_029,provider_029,Dr. Paul Perez,No,Platinum
claim_030,provider_030,Dr. Laura Roberts,Yes,Gold
claim_031,provider_031,Dr. Kevin Turner,No,Premium
claim_032,provider_032,Dr. Angela Phillips,Yes,Silver
claim_033,provider_033,Dr. Brian Campbell,No,Bronze
claim_034,provider_034,Dr. Maria Parker,Yes,Platinum
claim_035,provider_035,Dr. Jason Evans,No,Gold
claim_036,provider_036,Dr. Rebecca Edwards,Yes,Premium
claim_037,provider_037,Dr. Eric Collins,No,Silver
claim_038,provider_038,Dr. Jessica Stewart,Yes,Bronze
claim_039,provider_039,Dr. George Sanchez,No,Platinum
claim_040,provider_040,Dr. Amanda Morris,Yes,Gold
claim_041,provider_041,Dr. Joshua Rogers,No,Premium
claim_042,provider_042,Dr. Megan Reed,Yes,Silver
claim_043,provider_043,Dr. Andrew Cook,No,Bronze
claim_044,provider_044,Dr. Stephanie Morgan,Yes,Platinum
claim_045,provider_045,Dr. Benjamin Bell,No,Gold
claim_046,provider_046,Dr. Kimberly Murphy,Yes,Premium
claim_047,provider_047,Dr. Ryan Bailey,No,Silver
claim_048,provider_048,Dr. Heather Rivera,Yes,Bronze
claim_049,provider_049,Dr. Justin Cooper,No,Platinum
claim_050,provider_050,Dr. Rachel Richardson,Yes,Gold
claim_051,provider_051,Dr. Brandon Cox,No,Premium
claim_052,provider_052,Dr. Megan Howard,Yes,Silver
claim_053,provider_053,Dr. Adam Ward,No,Bronze
claim_054,provider_054,Dr. Melissa Torres,Yes,Platinum
claim_055,provider_055,Dr. Nathan Peterson,No,Gold
